Rank,Company Name,Revenue,% Change,Net Operating Income,% Change,Profit,% Change,Assets,% Change,Net Worth,% Change,Equity Dividend,% Change,Employee Cost,% Change
132,Federal Bank,"9,867.04",14.27,"8,783.27",12.23,866.87,78.21,"1,12,958.94",22.16,"8,946.36",11.01,0,,"1,189.34",10.72
133,Cadila Healthcare,"9,696.90",1.5,"9,429.50",0.03,"1,487.70",-23.07,"12,537.30",48.65,"6,960.00",22.12,0,,"1,500.20",18.71
134,Arvind,"9,678.51",17.82,"9,235.54",15.29,313.84,-0.11,"6,806.37",2.86,"3,568.17",34.83,0,,"1,096.26",22.07
135,NMDC,"9,639.44",16.68,"8,828.14",36.75,"2,543.86",-0.09,"23,208.92",-25.25,"22,582.21",-22.61,"1,313.02",,888.75,36.77
136,Bombay Burmah Trading Corporation,"9,629.60",7.9,"9,434.12",7.67,435.67,12.8,"4,814.67",26.46,"2,334.05",21.98,0,,467.14,2.6
137,IDFC Bank,"9,597.38",136.85,"8,578.28",135.1,"1,018.68",118.2,"1,05,037.34",32.94,"14,677.33",7.66,0,,614.96,139.63
138,Glenmark Pharmaceuticals,"9,576.39",24.02,"9,079.41",20.07,"1,108.75",49.22,"9,248.49",20.2,"4,492.53",23.77,0,,"1,640.81",19.05
139,Jindal Stainless,"9,535.69",30.93,"9,278.66",29.89,83.04,0,"7,847.23",-35.43,"1,813.89",5.94,0,,154.05,14.67
140,Bharat Electronics,"9,534.85",16.86,"8,653.98",17.68,"1,523.58",13.92,"8,894.59",-12.64,"7,735.77",-16.34,0,,"1,559.44",23.06
141,Adani Ports & Special Economic Zone,"9,479.46",20.89,"8,439.35",18.72,"3,911.52",35.01,"41,034.48",10.88,"17,525.98",29.77,0,,383.14,38.91
142,Godrej Consumer Products,"9,477.36",10.2,"9,267.91",10.02,"1,304.08",57.57,"10,254.95",41.06,"5,301.95",24.26,0,,988.46,4.7
143,DLF,"9,469.24",-10.64,"8,221.23",-17.17,714.8,133.44,"56,364.33",8.82,"24,572.83",2.09,0,,328.32,4.15
144,Nestle India,"9,405.19",13.68,"9,223.80",12.83,926.54,64.49,"5,019.06",13.23,"3,013.70",6.95,607.42,,"1,073.36",17.6
145,Rain Industries,"9,346.38",-9.39,"9,316.40",-8.83,224.73,-30.5,"11,419.47",0.75,"3,014.35",2.62,33.64,,970.69,1
146,Britannia Industries,"9,258.83",8.6,"9,054.09",7.82,884.61,7.28,"2,856.56",26.54,"2,696.42",28.91,0,,352.61,3.3
147,Export-Import Bank of India,"9,235.34",5.17,"8,441.09",1.78,41.21,-86.95,"1,08,100.90",3.12,"12,028.02",4.42,0,,56.39,-1.67
148,Indian Railway Finance Corporation,"9,047.66",20.52,"9,047.38",20.52,933.81,10.03,"1,20,146.83",20.7,"12,009.60",4.2,373.52,,3,-26.65
149,JBF Industries,"9,035.51",0.87,"8,984.95",1.2,-390.36,0,"13,236.47",-2.15,"2,064.03",-14.86,8.18,,261.67,-4.79
150,NCC,"9,027.49",-8.17,"9,000.57",-5.53,31.68,-73.69,"6,620.39",-7.57,"3,447.67",1.64,0,,459.22,-2.39
151,Shree Cement,"8,990.35",9.05,"8,429.16",14.66,"1,339.08",-12.14,"9,950.75",15.02,"7,698.00",12.45,404.11,,537.18,8.94
152,PC Jeweller,"8,977.82",15.75,"8,474.41",16.04,421.01,5.73,"4,160.95",22.96,"3,366.78",44.72,0,,83.37,14.76
153,United Spirits,"8,905.80",-4.43,"8,817.50",3.8,100.1,-27.62,"5,970.90",-0.32,"1,785.60",9.23,0,,688.2,1.21
154,Piramal Enterprises,"8,896.86",28.48,"8,503.65",34.1,"1,252.33",38.42,"45,606.06",55.26,"14,882.57",14.94,0,,"1,793.87",6.58
155,Punjab & Sind Bank,"8,750.97",-5.12,"8,172.87",-6.54,201.08,-40.15,"94,641.06",-5.41,"5,269.16",3.97,0,,990.14,10.75
156,Thomas Cook (India),"8,682.44",41.02,"8,588.00",40.93,38.18,0,"3,681.89",33.97,"1,520.80",21.89,0,,"4,053.89",20.01
157,ABB India,"8,647.00",5.43,"8,648.37",6.24,376.25,25.47,"3,938.81",7.6,"3,282.78",9.12,84.76,,767.82,2.39
158,Alok Industries,"8,645.11",-30.48,"8,723.05",-32.5,"-3,083.14",0,"27,221.94",-7.59,"1,646.59",-63.49,0,,329.03,-33.72
159,KEC International,"8,622.34",1.33,"8,584.40",0.78,304.78,106.11,"3,726.99",-17.76,"1,586.36",22.94,0,,732.67,14.62
160,Godrej Industries,"8,609.63",10.27,"8,365.13",12.23,256.45,59.51,"12,288.13",6.38,"3,195.62",6.46,0,,429.21,17.64
161,L&T Finance Holdings,"8,572.31",14.75,"8,531.58",14.67,"1,042.19",21.65,"70,032.84",14.71,"7,893.94",9.71,0,,493.52,1.2
162,JSW Energy,"8,484.49",-16.55,"8,263.43",-15.89,629.03,-56.54,"24,769.52",0.65,"10,368.46",6.85,321.85,,211.77,15.21
163,IL&FS Transportation Networks,"8,401.62",0.54,"7,984.42",-0.64,149.31,22.43,"37,422.51",14.01,"4,184.68",-2.74,0,,522.03,6.37
164,Zee Entertainment Enterprises,"8,247.40",34.33,"6,434.20",10.7,"2,221.70",169.89,"8,644.00",30.85,"6,656.70",38.57,0,,604.3,21.2
165,JK Tyre & Industries,"8,055.11",16.46,"7,689.37",11.47,375.4,-19.67,"8,255.74",63.81,"1,964.78",12.18,0,,893.29,14.09
166,National Aluminium Company,"8,047.09",7.52,"7,543.04",10.65,667.72,-15.17,"10,654.59",-21.45,"10,205.15",-22.66,541.22,,"1,537.44",9.95
167,Bharti Infratel,"8,044.40",11.16,"6,084.70",9.47,"2,747.00",22.23,"16,402.70",-12.86,"15,499.30",-15.04,"2,773.00",,274.6,6.52
